sex,age,country,edu.r,edu.m,edu.f,ses15,sex.orient,sex.orient.bin,names.bin,names.m,names.f,first.born,birth.order,no.children,rel.m,rel.f,rejection.m,rejection.f,overprotection.m,overprotection.f,emotional.m,emotional.f,money.m,money.f,time.m,time.f
0,23,1,3,3,4,3,2,0,0,0,0,1,1,1,5,5,10,14,19,20,17,20,4,4,3,3
1,30,1,4,3,3,2,1,0,0,0,0,1,1,3,5,2,19,23,24,26,14,13,3,3,3,3
0,55,1,4,2,3,3,1,0,0,0,0,0,3,3,6,6,8,8,13,13,15,15,4,4,2,2
0,27,1,4,4,4,4,2,0,0,0,0,1,1,1,5,6,9,9,19,18,20,20,4,4,4,3
1,28,1,4,2,3,4,2,0,1,0,1,1,1,1,7,6,8,9,25,26,20,15,5,5,4,1
1,22,1,3,3,2,4,1,0,1,0,1,0,2,2,7,6,9,9,19,13,18,14,4,4,4,4
0,21,1,3,4,2,3,1,0,0,0,0,1,1,3,7,7,10,10,18,17,22,21,5,5,5,4
0,24,1,4,2,2,2,2,0,0,0,0,1,1,2,2,6,24,10,29,26,15,19,3,3,4,1
0,21,1,3,4,4,4,1,0,0,0,0,0,3,3,6,7,10,7,15,12,23,23,5,5,5,5
0,29,1,4,3,4,3,2,0,0,0,0,0,2,2,6,5,11,9,20,12,19,17,3,3,2,1
0,29,1,4,3,2,2,2,0,0,0,0,0,2,2,6,6,17,11,26,14,17,18,5,5,3,3
0,32,1,4,3,3,3,2,0,0,0,0,1,1,1,6,6,9,9,14,13,20,14,4,4,4,2
0,22,1,3,3,2,4,1,0,0,0,0,1,1,2,7,7,10,8,21,13,24,22,5,5,5,5
1,60,1,4,4,4,3,1,0,1,0,1,1,1,2,6,6,12,9,21,20,17,17,4,4,3,3
0,33,1,4,3,4,2,1,0,0,0,0,1,1,4,4,4,14,11,17,17,13,11,2,2,2,1
0,30,1,4,4,2,3,1,0,0,0,0,0,2,2,6,3,14,12,22,14,19,13,5,3,5,2
0,30,1,4,2,2,3,3,0,0,0,0,1,1,2,4,4,9,7,18,17,9,9,4,4,3,3
0,28,1,4,3,2,3,1,0,1,1,0,1,1,1,7,2,13,9,28,12,24,11,5,3,5,1
1,45,1,4,3,3,3,1,0,0,0,0,1,1,2,5,5,13,9,17,20,20,15,4,4,3,3
0,25,1,4,3,4,4,1,0,1,1,0,1,1,2,7,6,9,12,23,27,21,20,5,5,4,2
1,23,1,3,3,4,2,1,0,0,0,0,0,2,5,6,3,9,12,23,21,23,20,4,4,4,4
1,31,1,4,3,3,3,1,0,1,0,1,1,1,1,6,6,8,8,29,26,24,24,4,4,4,3
0,31,1,4,4,4,3,1,0,0,0,0,1,1,3,7,7,11,7,27,16,11,16,3,3,5,4
0,29,1,4,3,4,4,1,0,1,0,1,1,1,2,6,6,10,10,18,17,19,18,4,4,4,3
1,30,1,4,4,2,3,5,1,1,0,1,1,1,3,6,6,11,10,26,23,22,22,4,4,4,2
1,62,1,4,1,1,3,1,0,1,0,1,0,2,2,5,6,11,10,23,16,17,15,4,4,3,3
0,27,1,4,1,3,5,1,0,0,0,0,1,1,3,1,4,27,9,31,14,7,9,2,2,1,1
0,28,1,4,3,4,3,1,0,0,0,0,0,3,3,7,7,11,9,27,23,23,23,4,4,2,2
0,35,1,4,1,2,2,1,0,0,0,0,0,4,4,6,4,8,8,24,21,17,10,3,2,2,2
0,25,1,4,2,3,3,2,0,1,0,1,1,1,2,3,6,12,10,21,16,13,13,4,4,2,2
0,20,1,3,4,4,1,1,0,0,0,0,1,1,2,7,7,7,9,14,20,24,24,5,5,4,4
0,26,1,4,2,3,2,1,0,0,0,0,0,2,3,6,6,14,12,27,19,21,17,4,4,3,3
0,21,1,3,4,4,4,1,0,0,0,0,1,1,2,5,6,18,13,29,29,14,22,4,4,5,5
0,29,1,4,4,3,3,1,0,0,0,0,0,2,2,6,6,15,12,27,26,20,19,4,4,5,5
0,33,1,4,4,4,4,2,0,0,0,0,1,1,2,7,4,9,10,14,11,18,8,5,2,4,1
0,28,1,4,3,2,3,1,0,0,0,0,1,1,2,7,7,7,8,17,14,18,19,5,4,4,3
0,37,1,4,3,3,2,3,0,0,0,0,1,1,2,7,7,11,11,24,24,19,19,5,5,4,4
0,30,1,4,2,4,3,2,0,0,0,0,1,1,2,4,5,21,11,19,16,6,7,2,2,1,1
0,32,1,4,4,4,3,2,0,0,0,0,0,2,2,6,6,8,7,20,18,19,19,4,4,4,4
0,41,1,3,3,2,3,1,0,0,0,0,1,1,2,5,5,11,10,22,18,18,15,4,4,2,1
0,33,1,4,3,4,3,1,0,0,0,0,1,1,2,5,7,15,13,29,27,15,15,4,4,4,4
0,34,1,4,4,4,3,1,0,0,0,0,1,1,3,6,5,14,14,21,21,13,13,4,4,4,3
0,44,1,3,3,4,3,1,0,0,0,0,1,1,3,5,5,14,9,17,14,13,11,3,3,3,3
0,31,1,4,3,3,2,2,0,0,0,0,0,4,4,4,7,17,12,25,18,23,21,5,5,5,5
0,34,1,4,2,4,2,2,0,0,0,0,1,1,2,7,7,9,9,17,17,24,24,4,4,5,2
0,26,1,3,3,3,3,1,0,0,0,0,0,2,3,6,7,11,10,15,10,22,22,4,4,3,3
0,41,1,4,4,4,3,1,0,1,1,0,1,1,1,7,7,8,8,26,19,24,24,5,5,5,4
0,38,1,4,3,4,3,2,0,0,0,0,0,2,3,4,5,7,7,21,17,17,15,4,4,4,3
0,37,1,2,3,2,2,1,0,0,0,0,1,1,3,4,2,19,27,27,26,10,8,2,2,1,1
0,23,1,4,4,3,4,2,0,0,0,0,1,1,3,6,6,9,7,14,11,21,19,4,4,4,4
0,28,1,4,3,2,2,1,0,0,0,0,0,2,3,6,4,9,11,10,10,19,10,4,2,5,1
0,26,1,4,4,3,3,1,0,0,0,0,0,2,2,5,6,11,9,28,17,14,14,4,4,3,2
0,26,1,4,3,4,3,1,0,0,0,0,0,2,2,7,7,8,8,18,14,22,18,4,4,5,3
0,24,1,3,2,2,1,2,0,0,0,0,1,1,2,6,7,13,10,34,32,19,21,4,5,5,3
0,55,1,4,3,3,2,1,0,0,0,0,1,1,2,6,7,12,11,20,16,13,13,3,3,1,1
0,30,1,4,4,3,2,2,0,0,0,0,1,1,2,7,2,7,10,22,22,24,13,5,3,5,1
0,30,1,4,2,2,3,1,0,0,0,0,1,1,2,4,5,15,17,12,18,9,10,3,3,1,2
0,30,1,4,3,4,2,4,1,0,0,0,1,1,1,7,1,8,11,23,14,24,7,4,2,3,1
0,24,1,3,2,1,3,1,0,0,0,0,1,1,2,5,3,10,10,12,12,10,10,4,2,3,3
0,37,1,4,4,4,4,1,0,1,1,0,1,1,2,7,7,9,9,17,17,19,19,4,4,3,3
0,34,1,4,3,2,2,1,0,0,0,0,0,2,2,7,5,9,11,17,23,19,16,4,4,3,3
0,30,1,3,1,2,3,1,0,0,0,0,0,3,3,3,2,18,13,22,26,10,6,2,5,2,3
0,36,1,3,2,4,3,2,0,0,0,0,1,1,2,4,5,16,7,19,17,11,15,3,3,2,2
0,38,1,4,4,4,3,1,0,0,0,0,1,1,2,3,5,16,15,28,20,14,14,4,4,4,3
0,47,1,3,3,4,4,1,0,0,0,0,0,2,2,6,6,9,9,20,20,16,14,4,4,2,2
0,24,1,4,3,1,2,2,0,0,0,0,1,1,3,3,6,12,10,20,15,16,15,4,3,4,2
0,31,1,4,3,4,3,1,0,0,0,0,1,1,3,5,4,7,8,13,12,15,14,4,4,2,1
0,24,1,3,4,3,3,1,0,0,0,0,1,1,2,7,7,8,8,21,21,24,24,4,4,4,4
0,29,1,4,3,4,4,1,0,0,0,0,0,4,5,6,6,8,9,17,14,20,17,4,4,4,4
